order_id,shipping_mode,days_for_shipping_real,days_for_shipment_scheduled,order_item_quantity,sales,order_profit_per_order,category_name,order_region,order_date,shipping_date,shipping_time_outlier,delay_days,sla_breach,profit_margin_pct,days_for_shipping_real_normalized,order_item_quantity_normalized,sales_normalized
100001,Standard Class,3.0,5,3.0,104.85,8.12,Clothing,Central,2017-01-31 10:06:50.810810808,2017-02-03 10:06:50.810810808,0,-2.0,0,7.744396757272294,0.0588235294117647,0.4000000000000001,0.06414538776931722
100002,Same Day,4.0,0,1.0,36.29,4.34,Sports,West,2017-12-13 02:19:49.189189184,2017-12-17 02:19:49.189189184,0,4.0,1,11.959217415265913,0.08823529411764705,0.0,0.009878263072076492
100003,Second Class,6.0,2,4.0,231.06,10.63,Sports,Central,2017-12-17 11:33:20.000000000,2017-12-23 11:33:20.000000000,0,4.0,1,4.600536657145331,0.14705882352941174,0.6000000000000001,0.16404407225062925
100004,First Class,5.0,1,5.0,198.85,17.57,Electronic Supplies,Central,2017-08-22 13:32:58.378378368,2017-08-27 13:32:58.378378368,0,4.0,1,8.835805883832034,0.11764705882352941,0.8,0.1385489718057908
100005,Standard Class,6.0,4,6.0,130.17,3.33,Electronic Supplies,East,2016-08-23 15:51:21.081081080,2016-08-29 15:51:21.081081080,0,2.0,1,2.5581931320580784,0.14705882352941174,1.0000000000000002,0.0841868638097801
100006,Standard Class,5.0,5,4.0,103.11,20.13,Clothing,West,2017-09-17 20:54:03.243243248,2017-09-22 20:54:03.243243248,0,0.0,0,19.522839685772475,0.11764705882352941,0.6000000000000001,0.06276812993715272
100007,Standard Class,5.0,5,3.0,211.48,18.64,Clothing,West,2017-07-03 20:59:49.189189184,2017-07-08 20:59:49.189189184,0,0.0,0,8.814072252695292,0.11764705882352941,0.4000000000000001,0.14854596400132974
100008,Second Class,6.0,2,1.0,89.35,17.43,Clothing,West,2017-01-19 17:30:48.648648648,2017-01-25 17:30:48.648648648,0,4.0,1,19.507554560716287,0.14705882352941174,0.0,0.051876711678196574
100009,First Class,3.0,2,2.0,85.49,11.53,Clothing,West,2018-06-09 09:29:22.162162160,2018-06-12 09:29:22.162162160,0,1.0,1,13.486957538893437,0.0588235294117647,0.2,0.04882141556776266
100010,Second Class,4.0,2,2.0,78.92,3.09,Sports,West,2015-07-18 18:12:36.756756756,2015-07-22 18:12:36.756756756,0,2.0,1,3.9153573238722754,0.08823529411764705,0.2,0.043621079960107015
100011,Standard Class,3.0,5,4.0,151.03,19.65,Sports,Central,2018-03-31 05:53:09.189189184,2018-04-03 05:53:09.189189184,0,-2.0,0,13.010660133748262,0.0588235294117647,0.6000000000000001,0.10069812724595925
